,full_text,tweet_english,klasifikasi,Klasifikasi Bayes
0,pasti anies punya prestasi,anies must have achievements,Netral,Netral
1,suasana desa memang selalu menyenantidakan udara segar rimbun tumbuh hijau sungai jin penuh ikanikan kecil besar tarik angin dieng gaco adidas semalem bukan ordal anies,village atmosphere is always fun lush fresh air growing green jin river full of small fish big wind pull dieng gaco adidas semalem not ordal anies,Positif,Positif
2,program anies hanya ubah nama rumah sakit se indonesia wkwk juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies program only change the name of the hospital in Indonesia wkwk juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,Netral,Netral
3,anies bohong nipu rasa salah,anies lie nipu rasa salah,Netral,Netral
4,bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif,Positif
5,sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif,Positif
6,alesan jelas pak anies jelas jelas jelas nyamasih engga pahamdungu arti,alesan clear sir anies clear clear clear nyamasih don't understand dungu meaning,Positif,Positif
7,wow mantap sekali ini arti saudara anies jadi presiden ri,wow great this is the meaning of brother anies so president ri,Positif,Positif
8,dulu belsajar msajas kelas 8 samapsaya paham apa bilang pak anies kalau ga paham muntidakin kenyam kelas 8,first time belsajar msajas 8th grade samapsaya understand what to say sir anies if you don't understand muntidakin kenyam 8th grade,Positif,Positif
9,kasi kiki padahal fakta memang si anies jago kata kata ssaja tarik simpati padahal implementasi jamin nol cth waktu jd tri gubernur kerja nya standar banget,kasi kiki even though the fact is that si anies jago kata ssaja pulls sympathy even though the implementation of guarantee is zero eg jd tri time the governor's work is very standard,Netral,Netral
10,anak anies cakep bener anak capres muka ga tengil,anak anies cakep bener anak capres muka ga tengil,Netral,Netral
11,partai dukung pak anies tidak tahan jadi oposaudariinasdem pkb tuh msh yang jabat tri imin msh jabat wakil ketua dprri nampaknya betah banget kekuasaanmundur dong,the party supporting Pak Anies can't stand being oposaudariinasdem pkb tuh msh yang dabat tri imin msh dabat vice-chairman of DPRRI seems to be at home with the power to retreat dong,Positif,Positif
